,BigFamily,ParentsLivingTogether,AtLeast1EducatedParent,ParentEducationGap,M_employed,F_employed,SupportedByFamily,GoodFamilyRelation,PerformedWell
132,0,0,0,0,1,1,1,1,0
22,0,1,1,1,1,1,0,1,0
365,1,0,1,0,1,1,1,1,1
55,1,0,0,0,1,1,0,1,0
117,1,1,0,0,1,1,0,1,1
578,1,1,0,0,1,1,1,1,0
102,1,1,1,0,1,1,1,1,0
621,1,1,0,0,1,1,0,1,0
505,1,1,0,0,0,1,1,1,0
403,1,1,0,0,1,1,1,1,1
373,0,1,0,0,1,1,1,1,0
464,1,1,0,0,0,1,0,1,0
306,0,0,1,0,1,1,1,1,1
324,1,1,0,0,0,1,0,1,0
19,0,1,1,0,1,1,0,1,0
179,1,1,0,0,1,1,1,1,0
400,1,1,1,0,1,1,0,1,1
364,1,1,1,0,1,1,0,1,1
571,1,1,0,0,0,1,0,1,0
137,1,0,0,0,1,1,0,1,0
502,0,1,0,0,1,1,1,0,0
195,1,1,0,0,1,1,0,1,0
512,1,1,0,0,0,1,1,1,0
646,1,1,0,0,1,1,0,0,0
495,1,1,0,0,1,1,0,1,0
637,1,1,0,0,1,1,0,1,0
238,1,1,1,0,1,1,1,1,1
633,0,1,1,0,1,1,0,1,0
541,1,1,0,0,1,1,0,1,0
506,1,1,0,0,0,1,0,1,0
312,1,1,0,0,1,1,1,1,1
435,0,1,0,0,0,1,1,1,0
27,1,1,1,1,1,1,0,0,0
131,1,1,0,0,1,1,1,1,0
481,1,1,0,0,0,1,1,1,0
589,0,1,0,0,0,1,0,1,0
524,0,1,1,0,0,1,1,1,0
504,0,1,0,0,1,1,0,1,0
327,0,1,0,0,0,1,1,1,1
615,0,0,0,0,1,1,0,0,1
185,1,1,0,0,1,1,1,1,1
248,0,1,0,0,1,1,1,1,0
548,1,0,0,0,0,0,0,1,0
107,1,1,0,0,1,1,1,1,0
440,1,1,0,0,0,1,1,1,0
325,0,0,1,1,1,1,0,1,0
479,1,1,0,0,1,0,1,1,0
88,1,1,0,0,1,1,0,1,0
565,0,1,0,0,0,1,0,1,0
496,0,1,0,0,1,1,1,1,0
475,1,1,0,0,1,1,1,1,0
87,1,1,1,1,1,1,1,1,1
447,1,1,0,0,1,1,0,1,0
230,1,1,1,0,1,1,0,1,0
249,1,1,0,0,0,1,0,1,0
61,1,1,0,0,1,1,1,1,1
38,1,1,1,0,1,1,1,1,0
351,1,0,0,0,1,1,0,1,1
369,1,1,0,0,1,1,0,0,0
533,0,1,0,0,1,1,0,1,1
397,1,0,0,0,0,0,1,1,0
387,1,1,0,0,1,1,0,1,1
318,1,0,0,0,1,1,0,1,0
619,1,1,0,0,1,1,1,1,0
304,1,1,0,0,0,1,1,1,0
596,1,1,1,1,1,1,1,1,1
198,1,1,0,0,1,1,1,0,1
563,1,1,0,0,1,1,0,0,0
104,1,0,1,0,1,1,1,1,1
229,0,1,0,0,1,1,0,1,1
243,1,0,0,0,1,1,0,1,1
521,1,1,0,0,0,1,1,1,0
443,0,1,1,1,1,1,1,1,0
484,0,0,0,0,1,1,1,1,0
449,1,1,0,0,1,1,0,1,0
629,1,1,0,0,1,1,0,1,0
167,1,1,1,0,1,1,1,1,0
301,1,1,1,0,1,1,1,1,0
25,1,1,0,0,1,1,1,0,0
357,1,1,1,0,1,1,1,1,1
28,0,0,1,0,1,1,1,1,0
228,0,1,1,0,1,1,1,1,0
296,1,1,0,0,1,1,0,1,1
256,1,1,0,0,1,0,1,1,0
398,1,1,0,0,0,1,1,1,0
98,1,1,1,0,1,1,0,1,0
643,1,1,1,0,1,0,1,1,0
452,1,1,0,0,1,1,1,1,0
