BigFamily,ParentsLivingTogether,AtLeast1EducatedParent,ParentEducationGap,M_employed,F_employed,SupportedByFamily,GoodFamilyRelation,PerformedWell
1,1,0,0,0,1,1,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,1,1,1,0,0
1,1,0,0,1,0,1,1,0
1,1,0,0,1,1,1,1,0
1,1,1,0,1,0,1,1,0
1,1,0,1,1,1,0,1,0
1,1,0,1,1,1,1,1,0
1,1,0,0,0,0,1,1,0
1,0,0,0,1,1,0,1,0
1,1,1,0,1,1,1,1,0
1,1,0,0,0,1,1,1,0
1,1,0,0,0,1,1,1,0
1,1,1,0,1,1,1,1,0
1,1,1,0,1,1,1,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,1,1,0
0,0,0,0,0,1,0,0,0
0,1,0,0,1,1,1,1,0
1,1,0,0,1,1,1,1,0
1,1,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,0
1,1,0,1,0,1,1,1,0
1,1,1,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
0,1,1,0,0,1,1,1,0
1,1,0,0,0,1,1,1,0
0,1,0,0,1,1,0,1,0
1,1,1,0,1,1,1,1,0
0,0,0,0,1,1,0,1,0
1,1,0,0,1,1,1,1,0
0,0,0,0,0,1,1,1,0
1,1,0,1,1,1,1,1,0
0,1,0,0,0,1,1,0,0
1,1,0,0,1,1,1,1,0
1,0,0,0,0,0,1,1,0
1,1,0,0,1,1,0,0,0
1,0,1,0,1,1,0,1,0
0,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,1,1,1,1,0,0,0
0,0,0,0,1,1,1,1,0
1,1,1,0,1,1,1,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,0,1,1,1,0
0,1,0,0,1,1,1,1,0
1,1,0,0,0,1,0,1,0
1,0,1,0,1,1,1,0,0
1,1,0,0,1,1,1,1,0
1,1,1,0,1,1,1,1,0
1,1,0,1,1,1,0,1,0
1,1,0,1,0,1,1,1,0
1,1,0,0,1,1,0,1,0
0,1,0,1,1,1,0,1,0
1,1,0,1,1,1,1,1,0
1,0,0,1,1,1,1,0,0
1,1,1,0,1,1,1,1,0
0,1,0,0,1,1,1,1,0
1,1,1,0,1,1,1,1,0
1,1,1,1,1,1,1,1,0
0,0,0,0,1,1,0,1,0
1,1,0,0,1,0,1,1,0
1,1,0,0,1,1,1,1,0
0,1,1,0,1,1,1,1,0
1,1,0,0,1,1,1,1,0
0,1,1,0,1,1,1,1,0
0,1,0,0,1,1,1,1,0
0,1,1,0,1,1,1,1,0
1,1,0,0,1,1,1,1,0
1,1,0,0,0,1,1,1,0
0,1,0,0,0,1,1,1,0
0,1,0,0,1,1,1,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,1,1,0
1,1,1,0,1,1,1,1,0
0,1,0,0,1,1,0,1,0
1,0,1,0,1,1,1,1,1
1,1,0,0,1,1,0,1,1
1,1,0,0,1,1,1,1,1
0,0,1,0,1,1,1,1,1
1,1,1,0,1,1,0,1,1
1,1,1,0,1,1,0,1,1
1,1,1,0,1,1,1,1,1
1,1,0,0,1,1,1,1,1
0,1,0,0,0,1,1,1,1
0,0,0,0,1,1,0,0,1
1,1,0,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1
1,0,0,0,1,1,0,1,1
